adduser	3.137ubuntu1
libcc1-0:arm64	14.2.0-4ubuntu2~24.04.1
libccd-dev:arm64	2.1-2
libccd2:arm64	2.1-2
libccolamd3:arm64	1:7.6.1+dfsg-1build1
libcdio-cdda2t64:arm64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64:arm64	10.2+2.0.1-1.1build2
libcdio19t64:arm64	2.1.0-4.1ubuntu1.2
libcdparanoia0:arm64	3.10.2+debian-14build3
libcdt5:arm64	2.42.2-9ubuntu0.1
libceres-dev:arm64	2.2.0+dfsg-4.1ubuntu2
libceres4t64:arm64	2.2.0+dfsg-4.1ubuntu2
libcfitsio-dev:arm64	4.3.1-1.1build2
libcfitsio-doc	4.3.1-1.1build2
libcfitsio10t64:arm64	4.3.1-1.1build2
libcgraph6:arm64	2.42.2-9ubuntu0.1
libcharls2:arm64	2.4.2-2build2
libcholmod5:arm64	1:7.6.1+dfsg-1build1
libchromaprint1:arm64	1.5.1-5
libcjson1:arm64	1.7.17-1
libcli11-dev	2.4.1+ds-1
libcoarrays-dev:arm64	2.10.2+ds-2.1build2
libcoarrays-openmpi-dev:arm64	2.10.2+ds-2.1build2
libcodec2-1.2:arm64	1.2.0-2build1
libcolamd3:arm64	1:7.6.1+dfsg-1build1
libcolord2:arm64	1.4.7-1build2
libcom-err2:arm64	1.47.0-2.4~exp1ubuntu4.1
libconsole-bridge-dev:arm64	1.0.1+dfsg2-3build1
libconsole-bridge1.0:arm64	1.0.1+dfsg2-3build1
libcrypt-dev:arm64	1:4.4.36-4build1
libcrypt1:arm64	1:4.4.36-4build1
libcryptsetup12:arm64	2:2.7.0-1ubuntu4.2
libctf-nobfd0:arm64	2.42-4ubuntu2.10
libctf0:arm64	2.42-4ubuntu2.10
libcups2t64:arm64	2.4.7-1.2ubuntu7.14
libcurl3t64-gnutls:arm64	8.5.0-2ubuntu10.12
libcurl4-openssl-dev:arm64	8.5.0-2ubuntu10.12
libcurl4t64:arm64	8.5.0-2ubuntu10.12
libcxsparse4:arm64	1:7.6.1+dfsg-1build1
libdaemon0:arm64	0.14-7.1ubuntu4
libdatrie1:arm64	0.2.13-3build1
libdav1d-dev:arm64	1.4.1-1build1
libdav1d7:arm64	1.4.1-1build1
libdb5.3t64:arm64	5.3.28+dfsg2-7
libdbus-1-3:arm64	1.14.10-4ubuntu4.1
libdbus-1-dev:arm64	1.14.10-4ubuntu4.1
libdc1394-25:arm64	2.2.6-4build1
libdc1394-dev:arm64	2.2.6-4build1
libdconf1:arm64	0.40.0-4ubuntu0.1
libde265-0:arm64	1.0.15-1ubuntu0.1
libde265-dev:arm64	1.0.15-1ubuntu0.1
libdebconfclient0:arm64	0.271ubuntu3
libdecor-0-0:arm64	0.2.2-1build2
libdecor-0-dev:arm64	0.2.2-1build2
libdecor-0-plugin-1-gtk:arm64	0.2.2-1build2
libdeflate-dev:arm64	1.19-1build1.1
libdeflate0:arm64	1.19-1build1.1
libdevmapper-event1.02.1:arm64	2:1.02.185-3ubuntu3.2
libdevmapper1.02.1:arm64	2:1.02.185-3ubuntu3.2
libdouble-conversion3:arm64	3.3.0-1build1
libdpkg-perl	1.22.6ubuntu6.6
libdraco8:arm64	1.5.6+dfsg-3build1
libdrm-amdgpu1:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2
libdrm-dev:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm-etnaviv1:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm-freedreno1:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm-nouveau2:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm-radeon1:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm-tegra0:arm64	2.4.125-1ubuntu0.1~24.04.2
libdrm2:arm64	2.4.125-1ubuntu0.1~24.04.2
libduktape207:arm64	2.7.0+tests-0ubuntu3
libdw-dev:arm64	0.190-1.1ubuntu0.1
libdw1t64:arm64	0.190-1.1ubuntu0.1
libeatmydata1:arm64	131-1ubuntu1
libedit2:arm64	3.1-20230828-1build1
libegl-dev:arm64	1.7.0-1build1
libegl-mesa0:arm64	25.2.8-0ubuntu0.24.04.2
libegl1:arm64	1.7.0-1build1
libeigen3-dev	3.4.0-4build0.1
libelf-dev:arm64	0.190-1.1ubuntu0.1
libelf1t64:arm64	0.190-1.1ubuntu0.1
libepoxy0:arm64	1.5.10-1build1
liberror-perl	0.17029-2
libestr0:arm64	0.1.11-1build1
libevdev2:arm64	1.13.1+dfsg-1build1
libevent-2.1-7t64:arm64	2.1.12-stable-9ubuntu2
libevent-core-2.1-7t64:arm64	2.1.12-stable-9ubuntu2
libevent-dev	2.1.12-stable-9ubuntu2
libevent-extra-2.1-7t64:arm64	2.1.12-stable-9ubuntu2
libevent-openssl-2.1-7t64:arm64	2.1.12-stable-9ubuntu2
libevent-pthreads-2.1-7t64:arm64	2.1.12-stable-9ubuntu2
